ID,LONG,LAT,Produtividade Soja,MO,Zn,Fe,Mn,P,K,Cu,pH,Ca,Mg,Al,SMP,H_AL,SB,V,Sat_Al,CTC,Pot_CTC,Mg_CTC,Ca_CTC,H_AL_CTC,Argila,Areia,Silte
1,-54.003584,-25.406413,6.126,16.08,3.13,41.38,176.99,13.14,1.13,10.64,4.90,6.36,3.01,0.03,5.80,5.76,10.50,64.58,0.28,16.26,6.95,18.51,39.11,35.42,79.70,0.80,19.60
2,-54.003352,-25.405987,4.099,21.44,1.88,35.31,169.83,14.64,0.35,9.67,4.10,2.96,1.19,0.75,5.20,9.00,4.50,33.33,14.29,13.50,2.59,8.81,21.93,66.67,84.10,1.20,14.70
3,-54.003666,-25.405688,5.215,29.48,1.64,24.48,190.37,9.44,0.60,10.02,4.60,5.38,1.74,0.05,5.40,7.76,7.72,49.87,0.64,15.48,3.88,11.24,34.75,50.13,77.50,1.60,20.90
4,-54.003855,-25.40601,5.276,22.78,1.48,37.90,170.85,9.01,0.50,12.55,4.60,5.00,1.64,0.07,5.60,6.69,7.14,51.63,0.97,13.83,3.62,11.86,36.15,48.37,78.80,1.20,20.20
5,-54.004026,-25.406332,3.626,24.12,2.10,34.79,192.90,29.33,0.73,8.96,5.10,7.03,2.76,0.00,6.00,4.96,10.52,67.96,0.00,15.48,4.72,17.83,45.41,32.04,79.80,1.20,19.00
6,-54.004512,-25.406208,5.756,14.74,0.99,36.91,161.35,7.32,0.60,9.27,4.80,4.82,1.69,0.04,5.60,6.69,7.11,51.52,0.56,13.80,4.35,12.25,34.93,48.48,80.30,1.20,19.50
7,-54.004327,-25.405808,6.164,18.76,1.65,26.26,194.71,13.63,0.95,10.10,5.10,5.90,2.32,0.00,5.70,6.21,9.17,59.62,0.00,15.38,6.18,15.08,38.36,40.38,76.70,1.40,21.90
8,-54.004185,-25.405498,5.918,21.44,9.02,28.44,177.35,23.44,0.78,9.53,4.50,5.01,1.60,0.15,5.40,7.76,7.39,48.78,1.99,15.15,5.15,10.56,33.07,51.22,81.60,0.60,17.80
9,-54.004521,-25.405265,5.503,12.06,3.39,28.75,174.10,13.14,0.60,7.99,4.60,4.82,1.90,0.05,5.50,7.20,7.32,50.41,0.68,14.52,4.13,13.09,33.20,49.59,81.20,0.90,17.90
10,-54.004618,-25.404741,6.063,5.36,3.52,25.19,193.08,14.13,0.45,8.57,4.40,4.45,2.07,0.30,5.30,8.36,6.97,45.47,4.13,15.33,2.94,13.50,29.03,54.53,80.50,0.80,18.70
11,-54.004895,-25.405147,5.877,18.76,2.40,28.57,203.38,32.74,0.70,8.60,4.70,5.31,1.83,0.06,5.50,7.20,7.84,52.13,0.76,15.04,4.65,12.17,35.31,47.87,74.30,2.70,22.90
12,-54.004912,-25.405569,4.735,14.74,1.77,35.60,172.29,19.63,0.63,8.68,4.50,5.07,1.62,0.06,5.40,7.76,7.32,48.54,0.81,15.08,4.18,10.74,33.62,51.46,77.20,1.50,21.30
13,-54.00506,-25.405941,4.854,29.48,2.30,21.99,172.47,14.13,0.83,6.88,5.10,6.76,2.21,0.00,5.60,6.69,9.80,59.43,0.00,16.49,5.03,13.40,40.99,40.57,76.40,1.00,22.60
14,-54.005749,-25.406253,5.269,17.42,1.60,23.42,182.77,10.33,0.58,8.77,5.30,6.57,2.63,0.00,5.80,5.76,9.78,62.93,0.00,15.54,3.73,16.92,42.28,37.07,77.40,1.00,21.60
15,-54.005557,-25.405934,6.189,26.80,1.42,32.89,182.96,14.13,0.78,6.91,5.70,7.81,3.06,0.00,6.00,4.96,11.65,70.14,0.00,16.61,4.70,18.42,47.02,29.86,76.30,1.70,22.10
16,-54.005377,-25.405561,5.121,21.44,0.40,28.10,194.53,34.59,1.13,8.63,5.40,7.94,2.49,0.00,5.80,5.76,11.56,66.74,0.00,17.32,6.52,14.38,45.84,33.26,61.10,1.10,37.80
17,-54.005266,-25.405263,5.937,26.80,1.25,33.26,186.21,19.03,0.48,11.44,5.00,5.12,2.55,0.00,5.70,6.21,8.15,56.75,0.00,14.36,3.34,17.76,35.65,43.25,79.40,1.00,19.60
18,-54.005005,-25.404847,5.462,17.42,1.29,44.89,197.60,31.85,0.70,11.25,5.00,6.11,2.78,0.00,5.70,6.21,9.59,60.70,0.00,15.80,4.43,17.59,38.67,39.3,75.20,1.40,23.40
19,-54.004786,-25.404397,4.563,16.08,1.16,26.76,185.31,13.63,0.45,12.12,4.60,5.49,1.74,0.12,5.40,7.76,7.68,49.74,1.54,15.44,2.91,11.27,35.56,50.26,77.30,1.40,21.40
20,-54.004396,-25.404148,5.223,13.40,0.78,19.45,159.40,6.92,0.35,8.05,5.00,4.79,2.62,0.00,5.60,6.69,7.76,53.70,0.00,14.45,2.42,18.13,33.15,46.3,75.80,1.30,22.90
21,-54.003974,-25.4036,4.042,10.72,1.04,32.27,163.06,9.88,0.40,10.97,4.50,4.10,1.31,0.15,5.50,7.20,5.81,44.66,2.52,13.01,3.07,10.07,31.51,55.34,80.40,1.90,17.70
22,-54.004495,-25.403667,5.173,13.40,1.54,20.90,176.81,11.70,0.88,6.70,5.20,7.55,2.64,0.00,5.70,6.21,11.07,64.06,0.00,17.28,5.09,15.28,43.69,35.94,79.20,1.70,19.10
23,-54.005058,-25.404076,3.696,26.80,0.88,18.43,167.08,11.70,0.35,8.36,4.80,4.49,2.02,0.06,5.60,6.69,6.86,50.63,0.87,13.55,2.58,14.91,33.14,49.37,76.80,2.00,21.20
24,-54.005213,-25.404539,4.100,26.80,0.74,20.51,176.09,13.63,0.23,7.58,5.50,6.18,3.12,0.00,5.90,5.35,9.53,64.05,0.00,14.88,1.55,20.97,41.53,35.95,77.40,1.50,21.10
25,-54.005547,-25.404998,4.589,9.38,1.54,33.44,189.46,43.26,0.53,12.52,5.10,5.80,2.81,0.00,5.70,6.21,9.14,59.54,0.00,15.35,3.45,18.31,37.79,40.46,78.80,1.10,20.10
26,-54.005795,-25.405456,4.268,13.40,0.87,34.53,161.06,11.70,0.25,8.93,5.40,4.89,2.92,0.00,5.80,5.76,8.06,58.32,0.00,13.82,1.81,21.13,35.38,41.68,77.50,1.50,20.90
27,-54.006154,-25.405914,4.137,16.08,1.31,33.82,170.18,19.03,0.20,10.19,5.30,5.68,2.10,0.00,5.80,5.76,7.98,58.08,0.00,13.74,1.46,15.28,41.34,41.92,79.00,1.70,19.30
28,-54.006563,-25.406306,3.895,22.78,1.29,34.76,147.64,14.13,0.15,10.42,4.70,4.14,2.14,0.10,5.60,6.69,6.43,49.01,1.53,13.12,1.14,16.31,31.55,50.99,73.00,3.30,23.70
29,-54.006352,-25.406876,5.013,18.76,1.54,45.66,174.64,7.32,0.10,11.17,4.70,5.59,1.91,0.04,5.60,6.69,7.60,53.18,0.52,14.29,0.70,13.37,39.12,46.82,73.10,4.10,22.80
30,-54.006605,-25.407344,4.976,21.44,1.16,24.33,135.72,5.73,0.13,7.33,4.80,5.13,2.26,0.06,5.60,6.69,7.52,52.92,0.79,14.21,0.91,15.90,36.10,47.08,75.20,3.30,21.40
31,-54.006865,-25.407759,3.814,14.74,1.15,32.02,156.50,6.52,0.30,7.04,5.40,6.18,2.85,0.00,5.90,5.35,9.33,63.56,0.00,14.68,2.04,19.41,42.10,36.44,73.30,3.30,23.40
32,-54.007524,-25.407516,4.588,5.36,1.83,28.07,122.57,11.70,0.13,9.98,4.40,3.58,1.34,0.42,5.50,7.20,5.05,41.22,7.68,12.25,1.06,10.94,29.22,58.78,74.00,4.10,22.00
33,-54.007221,-25.407062,4.128,17.42,2.58,23.52,219.29,7.74,0.68,8.54,5.40,7.17,3.01,0.00,5.90,5.35,10.86,67.00,0.00,16.21,4.19,18.57,44.23,33,74.70,3.00,22.30
34,-54.00768,-25.406859,3.773,10.72,1.27,29.78,167.39,9.01,0.25,8.27,5.10,5.22,2.42,0.00,5.70,6.21,7.89,55.96,0.00,14.10,1.77,17.16,37.02,44.04,72.90,4.30,22.80
35,-54.007906,-25.407313,5.015,9.38,3.81,47.16,134.50,22.77,0.48,9.79,4.90,5.09,1.86,0.02,5.50,7.20,7.43,50.79,0.27,14.63,3.28,12.71,34.79,49.21,78.50,1.40,20.10
36,-54.008443,-25.407086,4.033,18.76,2.46,35.53,178.62,16.22,0.40,7.54,5.40,7.60,2.59,0.00,5.80,5.76,10.59,64.77,0.00,16.35,2.45,15.84,46.48,35.23,78.50,1.40,20.10
37,-54.008096,-25.406679,4.262,21.44,1.11,35.28,104.07,6.92,0.35,7.83,4.80,4.76,2.01,0.11,5.50,7.20,7.12,49.72,1.52,14.32,2.44,14.04,33.24,50.28,80.80,1.10,18.00
38,-54.007602,-25.406358,4.621,12.06,1.13,46.11,149.32,13.63,0.18,12.49,5.00,4.58,2.54,0.02,5.60,6.69,7.30,52.18,0.27,13.99,1.29,18.16,32.74,47.82,81.00,1.10,17.90
39,-54.006961,-25.406115,5.328,2.68,1.32,40.83,156.64,14.13,0.40,11.43,5.20,5.60,2.58,0.00,5.60,6.69,8.58,56.19,0.00,15.27,2.62,16.90,36.67,43.81,77.10,1.00,21.90
40,-54.006721,-25.405733,4.834,22.78,5.95,26.69,233.58,16.22,0.85,12.76,4.90,7.57,2.47,0.04,5.60,6.69,10.89,61.95,0.37,17.58,4.84,14.05,43.06,38.05,74.90,1.00,24.20
41,-54.007328,-25.405728,4.133,21.44,2.65,28.37,185.05,20.23,0.43,8.74,4.60,5.30,2.27,0.18,5.50,7.20,8.00,52.63,2.20,15.20,2.83,14.93,34.87,47.37,78.00,0.80,21.20
42,-54.006909,-25.405224,5.129,10.72,2.84,34.14,198.14,12.65,0.50,13.85,4.60,5.15,2.39,0.12,5.50,7.20,8.04,52.76,1.47,15.24,3.28,15.68,33.79,47.24,75.00,1.20,23.80
43,-54.006418,-25.405284,5.458,20.10,2.03,27.76,175.18,9.01,0.38,9.46,4.40,4.52,1.68,0.28,5.40,7.76,6.58,45.89,4.08,14.34,2.65,11.72,31.52,54.11,75.90,1.30,22.80
44,-54.006654,-25.404755,4.249,2.68,3.27,33.35,201.22,13.14,0.58,11.58,4.60,6.12,1.49,0.06,5.50,7.20,8.19,53.22,0.73,15.39,3.77,9.68,39.77,46.78,73.70,1.10,25.20
45,-54.006108,-25.404799,4.383,17.42,2.56,30.05,191.81,10.78,0.38,8.45,4.50,5.35,1.68,0.14,5.40,7.76,7.41,48.85,1.85,15.17,2.50,11.07,35.27,51.15,78.30,1.00,20.70
46,-54.005847,-25.404344,4.018,20.10,2.00,29.86,177.17,8.15,0.85,7.79,4.80,5.26,1.69,0.04,5.70,6.21,7.80,55.67,0.51,14.01,6.07,12.06,37.54,44.33,79.20,1.30,19.50
47,-54.005768,-25.403917,5.383,21.44,1.90,26.23,200.85,4.21,0.68,6.92,5.00,6.94,2.09,0.00,5.60,6.69,9.71,59.21,0.00,16.40,4.15,12.74,42.32,40.79,74.30,1.90,23.70
48,-54.005495,-25.403588,6.692,14.74,2.28,27.40,186.21,8.58,0.50,7.64,4.80,6.25,1.88,0.05,5.50,7.20,8.63,54.52,0.58,15.83,3.16,11.88,39.48,45.48,79.10,0.40,20.50
49,-54.005295,-25.40332,4.277,25.46,2.49,23.95,195.97,6.92,0.70,6.03,5.20,6.66,2.58,0.02,5.70,6.21,9.94,61.55,0.20,16.15,4.33,15.98,41.24,38.45,75.20,2.00,22.80
50,-54.00501,-25.403101,3.762,28.14,2.25,22.49,193.08,7.32,0.68,7.11,5.10,6.91,2.41,0.04,5.70,6.21,10.00,61.69,0.40,16.21,4.19,14.87,42.63,38.31,75.20,1.50,23.30
51,-54.004621,-25.402936,5.009,33.51,0.73,30.94,180.79,5.34,0.30,7.69,4.80,4.87,1.88,0.04,5.50,7.20,7.05,49.47,0.56,14.25,2.11,13.19,34.18,50.53,75.10,2.20,22.70
52,-54.004342,-25.403139,3.967,28.14,2.07,26.60,191.63,4.58,0.35,7.89,4.90,5.55,2.75,0.05,5.60,6.69,8.65,56.39,0.57,15.34,2.28,17.93,36.18,43.61,76.80,2.00,21.20
53,-54.004015,-25.402915,4.539,24.12,2.13,28.25,179.70,6.12,0.33,6.74,4.80,5.64,2.30,0.00,5.60,6.69,8.27,55.28,0.00,14.96,2.21,15.37,37.70,44.72,74.80,1.90,23.30
54,-54.003723,-25.403079,4.925,26.80,2.24,27.84,172.82,10.78,0.33,7.47,4.50,5.43,1.91,0.16,5.20,9.00,7.67,46.01,2.04,16.67,1.98,11.46,32.57,53.99,77.00,1.30,21.70
55,-54.003456,-25.402893,5.520,37.53,1.93,13.22,191.45,4.96,0.50,5.64,5.10,6.92,2.33,0.00,5.70,6.21,9.75,61.09,0.00,15.96,3.13,14.60,43.36,38.91,74.10,1.90,24.10
56,-54.004191,-25.402454,5.007,18.76,1.61,28.09,173.56,7.32,0.43,8.27,4.60,4.73,1.61,0.09,5.50,7.20,6.77,48.46,1.31,13.97,3.08,11.52,33.86,51.54,78.70,1.20,20.20
57,-54.004506,-25.402252,4.542,28.14,2.20,22.91,180.79,9.88,0.30,8.19,4.40,5.06,2.01,0.21,5.40,7.76,7.37,48.71,2.77,28.14,1.98,13.28,33.44,51.29,77.30,1.20,21.50
58,-54.004245,-25.401874,4.825,29.48,2.12,214.29,193.16,23.44,0.93,11.51,5.50,6.68,2.88,0.00,6.70,2.95,10.49,78.05,0.00,13.44,6.92,21.43,49.70,21.95,76.10,1.50,22.40
59,-54.00393,-25.40206,4.750,37.53,1.42,34.76,181.04,8.58,0.75,8.58,5.40,6.27,2.85,0.00,6.50,3.42,9.87,74.27,0.00,13.29,5.64,21.44,47.18,25.73,75.00,1.60,23.40
60,-54.003584,-25.402257,4.987,25.46,2.11,40.51,187.93,7.32,0.78,9.55,5.20,5.88,2.57,0.00,6.30,3.97,9.23,69.92,0.00,13.20,5.91,19.47,44.55,30.08,74.30,1.70,24.00
61,-54.003238,-25.402476,4.336,33.51,2.29,31.48,185.43,16.22,1.10,7.12,5.30,6.52,2.94,0.00,6.50,3.42,10.56,75.54,0.00,13.98,7.87,21.03,46.64,24.46,75.20,1.80,23.00
62,-54.003025,-25.402197,4.336,42.89,1.76,20.13,193.75,22.77,1.10,11.41,5.40,6.60,2.30,0.00,6.60,3.18,10.00,75.97,0.00,13.18,8.35,17.45,50.08,24.13,74.10,1.70,24.20
63,-54.003396,-25.401972,4.429,40.21,2.08,39.42,181.99,19.63,0.40,9.98,4.40,5.19,1.33,0.19,6.10,4.61,6.92,60.02,2.67,11.53,3.47,11.54,45.01,39.98,76.70,2.10,21.30
64,-54.003723,-25.401753,5.313,29.48,2.46,26.37,196.49,24.12,1.33,9.53,5.20,6.34,2.51,0.00,6.40,3.68,10.18,73.45,0.00,13.86,9.60,18.11,45.74,26.55,75.80,1.90,22.30
65,-54.003978,-25.401545,4.651,20.10,3.11,38.93,187.45,23.44,0.58,11.94,4.40,5.13,1.52,0.13,6.00,4.96,7.23,59.31,1.77,12.19,4.76,12.47,42.08,40.69,75.80,2.70,21.50
66,-54.003766,-25.401265,4.715,25.46,2.45,35.47,196.49,14.64,0.48,11.39,4.90,6.60,2.30,0.00,6.30,3.97,9.38,70.26,0.00,13.35,3.60,17.23,49.44,29.74,72.50,2.40,25.00
67,-54.003499,-25.401435,4.430,40.21,1.62,20.86,180.08,6.92,0.85,6.29,5.20,6.27,1.98,0.00,6.50,3.42,9.10,72.68,0.00,12.52,6.79,15.81,50.08,27.32,74.50,2.50,23.10
68,-54.003195,-25.401627,4.665,29.48,2.19,38.96,190.07,17.88,0.80,9.06,5.20,6.03,2.02,0.00,6.40,3.68,8.85,70.63,0.00,12.53,6.38,16.12,48.12,29.37,73.80,23.50,2.70
69,-54.002837,-25.401874,4.342,28.14,2.78,23.77,186.03,28.53,0.65,8.22,5.30,6.00,2.79,0.00,6.60,3.18,9.44,74.80,0.00,12.62,5.15,22.11,47.54,25.2,62.50,1.80,35.70
70,-54.002649,-25.401654,4.858,32.17,8.45,26.24,189.83,9.44,0.45,8.66,4.70,4.73,2.30,0.00,6.20,4.28,7.48,63.61,0.00,11.76,3.83,19.56,40.22,36.39,74.50,1.90,23.60
71,-54.002983,-25.401402,4.264,32.17,2.76,36.94,183.77,32.74,0.33,9.39,4.90,5.88,2.55,0.00,6.10,4.61,8.76,65.52,0.00,13.37,2.47,19.07,43.98,34.48,73.90,2.40,23.80
72,-54.003286,-25.401194,5.390,26.80,2.51,50.49,201.80,38.64,0.73,12.85,4.70,5.59,1.71,0.00,6.20,4.28,8.03,65.23,0.00,12.31,5.93,13.89,45.41,34.77,73.70,2.50,23.80
73,-54.003535,-25.400986,4.857,68.35,2.06,45.34,188.04,32.74,0.60,10.86,4.90,5.44,2.34,0.15,6.40,3.52,8.38,70.42,1.76,11.90,5.04,19.66,45.71,29.58,76.80,2.30,20.80
